,python,jupyter,pandas,numpy,tensorflow,keras,sklearn,r,rstudio,tidyverse,java,c,c++,c#,fortran,sas,matlab,spss,stata,excel,hadoop,spark,hive,pig,scala,tableau,d3,bi,sql,nosql,mysql,postgresql,sql server,mongo,redis,cassandra,neo4j,html,css,javascript,ruby,php,api,aws,cloud,big data,machine learning,deep learning,ai,nlp,graph,data visual,predictive,model,data mining,simulation,forecast,statistic,math,computer science,economics,engineering,clearance,job,company,location,job title,Link,Employees size,Industry,Revenue,city,state
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,https://www.indeed.com/company/Numero-Data-LLC/jobs/Entry-Level-Data-Scientist-e9fa5b8e369923cb?fccid=e2b02ba1480369a4&vjs=3,Numero Data LLC,"Herndon, VA",Entry level Data Scientist,,,,,Herndon,VA
4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,https://www.indeed.com/rc/clk?jk=21091c4562d65586&fccid=dd616958bd9ddc12&vjs=3,Numerdox,"Sacramento, CA",Data Scientist - Entry Level,,,,,Sacramento,CA
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,https://www.indeed.com/company/Numero-Data-LLC/jobs/Junior-Data-Scientist-5c22facccba4acc8?fccid=541ba4441800d456&vjs=3,Numero Data LLC,"Herndon, VA",Jr. Data Scientist,,,,,Herndon,VA
9,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,1,https://www.indeed.com/rc/clk?jk=719935fdaf377da4&fccid=4e041af1d0af1bc8&vjs=3,Booz Allen Hamilton,"Alexandria, VA","Data Scientist, Junior",https://www.indeed.com/cmp/Booz-Allen-Hamilton/,"10,000+",Consulting and Business Services,$5B to $10B (USD),Alexandria,VA
10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,https://www.indeed.com/rc/clk?jk=11baba484db23433&fccid=734cb5a01ee60f80&vjs=3,Microsoft,"Redmond, WA",Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences,https://www.indeed.com/cmp/Microsoft/,"10,000+",Internet and Software,more than $10B (USD),Redmond,WA
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,1,1,0,0,2,0,0,0,0,0,"https://www.indeed.com/company/SVK-Technology-Solutions,-Inc/jobs/Senior-Data-Scientist-d782ab22a8973763?fccid=7298a881e7376b63&vjs=3","SVK Technology Solutions, Inc","Fairfax, VA",Sr. Data Scientist,,,,,Fairfax,VA
12,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,"https://www.indeed.com/company/NextQA,-Inc/jobs/Data-Scientist-25a983ca9d7c2fab?fccid=a51248c3d210bdc6&vjs=3","NextQA, Inc","Woodlawn, MD",Data Scientist,,,,,Woodlawn,MD
16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.indeed.com/rc/clk?jk=b64bc87ddcff14df&fccid=b8df243f15e7ff2e&vjs=3,Spatial Front,"Suitland, MD 20746",Data Scientist,https://www.indeed.com/cmp/Spatial-Front/,51 to 200,,less than $1M (USD),Suitland,MD
17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,"https://www.indeed.com/company/Lexical-Intelligence,-LLC/jobs/Data-Scientist-993d09fb4713f228?fccid=bf6fed776c45bbb2&vjs=3","Lexical Intelligence, LLC","Bethesda, MD",Data Scientist,,,,,Bethesda,MD
18,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,3,0,2,0,2,0,2,0,0,0,0,0,https://www.indeed.com/rc/clk?jk=4dbfcbc74e2e5a30&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Rosslyn, VA 22209",Jr. Data Scientist,https://www.indeed.com/cmp/Deloitte/,"10,000+",Consulting and Business Services,$1B to $5B (USD),Rosslyn,VA
